「小フーガ ト短調」の作曲家を答えなさい。で？,ヨハンセバスティアンバッハ
「小フーガ ト短調」の作曲家の肖像画を、下のA〜Dから一つ選びなさい。？,A,mg001.png
「小フーガ ト短調」の作曲家の生まれた国を答えなさい。？,ドイツ
「小フーガ ト短調」の作曲家の生まれた都市名を答えなさい。？,アイゼナハ
「小フーガ ト短調」の作曲家が活躍した音楽的時代を答えなさい。？,バロック時代
「小フーガ ト短調」の演奏形態を答えなさい。？,パイプオルガンによる独奏
「小フーガ ト短調」の形式を答えなさい。？,フーガ
「小フーガ ト短調」の作曲家は、後世の音楽に大きな影響を与えたことから、何と呼ばれているか答えなさい。？,音楽の父
「小フーガ ト短調」の作曲家と同じ年に生まれた作曲家の名前を答えなさい。？,ヘンデル
「小フーガ ト短調」の作曲家について説明している次の文のうち、正しいものをすべて選びなさい。　　ア：この作曲家は音楽一家の家系である。　　イ：この作曲家は、父親から鍵盤楽器演奏の基礎を学んだ。　　ウ：この作曲家は、ヴァイオリンのための作曲もしている。　　エ：この作曲家と同じ時代に活躍した作曲家に、モーツァルトがいる。　　オ：この作曲家は、教会や宮廷の演奏家として活躍した。？,アウオ
「小フーガ ト短調」の形式では、初めに（　ア　）が提示され、アに他の声部が（　イ　）を変えながら追いかけるように続き、重なり合うように展開する。「小フーガ ト短調」は、（　ウ　）つの声部からなっている。「小フーガ ト短調」は、同じ作曲家の作品に「幻想曲とフーガ ト短調」という同じト短調の曲が存在するため、それと区別するために「（　エ　）」と呼ばれている。アを答えよ？,主題
「小フーガ ト短調」の形式では、初めに（　ア　）が提示され、アに他の声部が（　イ　）を変えながら追いかけるように続き、重なり合うように展開する。「小フーガ ト短調」は、（　ウ　）つの声部からなっている。「小フーガ ト短調」は、同じ作曲家の作品に「幻想曲とフーガ ト短調」という同じト短調の曲が存在するため、それと区別するために「（　エ　）」と呼ばれている。イを答えよ？,調
「小フーガ ト短調」の形式では、初めに（　ア　）が提示され、アに他の声部が（　イ　）を変えながら追いかけるように続き、重なり合うように展開する。「小フーガ ト短調」は、（　ウ　）つの声部からなっている。「小フーガ ト短調」は、同じ作曲家の作品に「幻想曲とフーガ ト短調」という同じト短調の曲が存在するため、それと区別するために「（　エ　）」と呼ばれている。ウを答えよ？,4
「小フーガ ト短調」の形式では、初めに（　ア　）が提示され、アに他の声部が（　イ　）を変えながら追いかけるように続き、重なり合うように展開する。「小フーガ ト短調」は、（　ウ　）つの声部からなっている。「小フーガ ト短調」は、同じ作曲家の作品に「幻想曲とフーガ ト短調」という同じト短調の曲が存在するため、それと区別するために「（　エ　）」と呼ばれている。エを答えよ？,小フーガ
「フーガ」とはイタリア語で何という意味か答えなさい。？,逃走
バッハの呼び名として正しいものを選びなさい。A歌曲の王　B音楽の父　C音聖　D交響曲の父？,B
「小フーガ ト短調」の形式として正しいものを選びなさい。A:ソナタ形式　　B:フーガ　　C:変奏曲　　D：ロンド形式？,B
主題に対して、別の声部が調を変えて答えるように入ることを漢字2字で答えなさい。？,応答
フーガで最初に提示される、曲の中心となる旋律を何というか答えなさい。？,主題
「小フーガ ト短調」はいくつの声部からできているか？,4
