19世紀の初めころ、ドルトンは、物質はそれ以上　分割することのできない小さな粒子でできていると考えた。この粒子を何と言うか？,原子
①に語句を入れよ？,分割,rika-009.png
②に語句を入れよ？,質量,rika-010.png
③に語句を入れよ？,種類,rika-011.png
《重要》現在、118種類が確認されている、原子の種類を何と言うか？,元素
①をいれYO？,C,rika-012.png
②をいれYO？,窒素,rika-012.png
③をいれYO？,O,rika-012.png
④をいれYO？,S,rika-012.png
⑤をいれYO？,塩素,rika-012.png
⑥をいれYO？,ナトリウム,rika-012.png
⑦をいれYO？,マグネシウム,rika-012.png
⑧をいれYO？,Fe,rika-012.png
⑨をいれYO？,Cu,rika-012.png
《重要》元素を、縦の列に科学的性質がよく似た元素が並ぶように整理した表を何と言うか？,元素の周期表
《重要》アボガドロは、気体の物質では、いくつかの原子が結びついた粒子が単位となっていると考えた。物質の性質を示す最小単位のこの粒子を何と言うか？,分子
酸素の分子は、酸素の原子が【問】個結びついてできているか？,２,rika-013.png
水分子は、酸素原子１個と水素原子が【問】個結びついてできているか？,２,rika-013.png
《重要》元素記号を用いて物質を表したものを何と言うか？,化学式
図は、分子をつくる物質の化学式の表し方ですAの化学式は？,H２,rika-014.png
図は、分子をつくる物質の化学式の表し方ですBの化学式は？,H２O,rika-014.png
図は、分子を作らない物質の化学式の表し方である。Aの化学式は？,Mg,rika-015.png
図は、分子を作らない物質の化学式の表し方である。Bの化学式は？,NaCl,rika-015.png
《重要》水素やマグネシウムのように。１種類の元素からできている物質を何という？,単体
《重要》水や塩化ナトリウムのように、２種類以上の元素からできている物質をなんという？,化合物
図は、物質を分類したものである。①にあてはまる言葉を書け？,純粋な物質,rika-016.png
食塩水は混合物に分類される。食塩水を作っている塩化ナトリウムと水は、ともに混合物か、純粋な物質か？,純粋な物質
図の食塩水以外の物質はABCDどこに分類されるかそれぞれ化学式で●と■で答えよ。Aは？,O2とH2,rika-017.png
図の食塩水以外の物質はABCDどこに分類されるかそれぞれ化学式で●と■で答えよ。Bは？,MgとCu,rika-017.png
図の食塩水以外の物質はABCDどこに分類されるかそれぞれ化学式で●と■で答えよ。Cは？,CO2とH2O,rika-017.png
図の食塩水以外の物質はABCDどこに分類されるかそれぞれ化学式で●と■で答えよ。Dは？,CuOとNaCl,rika-017.png
単体と元素は、同じ名前で呼ばれることが多い。次の【】の中は、それぞれ単体と元素どちらを表しているか。水は酸素と【水素】からできている。？,元素
単体と元素は、同じ名前で呼ばれることが多い。次の【】の中は、それぞれ単体と元素どちらを表しているか。水を電気分解すると酸素と【水素】が生じる？,単体
