「翼をください」の作詞者を漢字で？,山上路夫
「翼をください」の作曲者を漢字で？,村井邦彦
「翼をください」で示されている速度記号は？,Moderato
「翼をください」で示されている速度記号の読み方は？,モデラート
「翼をください」で示されている速度記号の意味は？,中ぐらいの速さで
「翼をください」の拍子は何分の何拍子ですか？,4分の４拍子
「翼をください」の調は何調か？,変ロ長調
合唱曲として編曲された「翼をください」の合唱形態は？,混声三部合唱
記号アの読み方は？,メッゾフォルテ,og001.png
記号アの意味は？,少し強く,og001.png
イの音符は何とよばれるか？,三連符,og001.png
イの音符の意味を「四分音符」という言葉を使い答えYO？,四分音符を三等分する,og001.png
イの音符の長さは何音符同じか？,四分音符,og001.png
記号ウの読み方は？,ナチュラル,og001.png
記号ウがついた音符は次のA・B・Cのうちどの音になるか？,A,og001.png
記号エの読み方は？,タイ,og001.png
記号エの意味は？,高さが同じ２つの音をつなげる,og001.png
記号オの読み方は？,リタルダンド,og002.png
記号オの意味は？,だんだん遅く,og002.png
記号カの読み方は？,フェルマータ,og002.png
記号カの意味は？,ほどよく伸ばす,og002.png
