モンゴル軍の襲来、執権【問】のもと、元軍と戦う。？,北条時宗
モンゴル軍の襲来、幕府軍は、元軍の【問】戦法と火薬を使った武器に苦しめられた。？,集団
(永仁の徳政令)生活の苦しくなった【問】を救うために出した。→失敗→幕府のおとろえ？,御家人,rekishi_09.png
赤丸は何。？,勘合,rekishi_10.png
室町時代には手工業や商業が発達→開かれる日数が増加した。【問】で宋銭や明銭が使用される。？,定期市,rekishi_11.png
商業の発達→交通の要地で運送業者が活動する。？,馬借,rekishi_14.png
〖一揆の記録〗村に【問】と呼ばれる自治組織が作られる。？,惣,rekishi_12.png
農民は、団結して【問】を起こす。？,土一揆,rekishi_12.png
これは何を言ってる。？,分国法,rekishi_13.png
[戦国大名]【問】の状況の中から台頭した戦国大名は、分国法のような法律によって国内の武士や民衆を支配した。？,下校上,rekishi_13.png
足利義満が京都の北山に建設。？,金閣,rekishi_15.png
足利義政が京都の東山に建設。？,銀閣,rekishi_16.png
【問】の建築様式。？,書院造,rekishi_17.png
